repo_id,Date,Commit_msg,Commit_counter,Commit_hash,Issue,Description
codes/Raspberry-Pi-Pico-Projects,2022-09-14T01:06:08-05:00,433 Mhz Protocol Set,2,0a03731b39b00930dba9aefe4d15ee353bfe18cc,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-14T01:41:22-05:00,Compiled Project not sure about malloc library,3,17868cc1ef88b40ac0e9a12bde26cf43dfdabe26,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-18T23:46:01-05:00,"PWM driver, servo lib and valve lib added to project autowatering",4,0827468627c93af26b8367b68a684ee5526c6545,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-19T23:59:48-05:00,Finite State Machine of Decoding 433MHZ MSG modified,5,62575bb532f47b19002a3296374ff9cf55d2d491,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-20T00:12:42-05:00,decoding-fsm lib added to cmake file,6,ebcc9f26870a2cd945d71175cb0dadd9cf42b170,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-20T00:40:34-05:00,Project compilation done successfully,7,95be9310458236b507ade75e24c514bc6421536c,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-20T23:16:19-05:00,"Cmake Lists done correctly, everything compiled with no warnings",8,c9da9c5373c07b1c378b432cd16152c5d8e234f6,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-20T23:34:09-05:00,test changes added,9,00a0cab5d5328e9098195646bc51418247973014,notVolatileVarIrq,main.c.dump
codes/Raspberry-Pi-Pico-Projects,2022-09-20T23:42:16-05:00,unnecessary libs removed from cmakelists,10,626a9b9c7c93e26f669c2827a23a6bbaaa366cdd,notVolatileVarIrq,main.c.dump
codes/RaspberryPiPico-Termo-Alarm,2023-10-08T19:06:03-03:00,Create termo alarm,0,2f72d26fcd8c2c1f6a91e9cace11e3150cf0d017,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-10-29T21:51:55+02:00,Initial commit,3,c9819cf7fd7bde2c0a684c680c5711133c8bac1e,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-10-29T21:51:55+02:00,Initial commit,3,c9819cf7fd7bde2c0a684c680c5711133c8bac1e,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-11-01T20:49:43+02:00,Create main.c,19,4ffef83a236ca22a1d8ee203c7ede8c7b801522d,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-11-01T20:57:17+02:00,Update main.c,20,0523a57053869316c5515b2e63a093d5c39912da,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-11-01T21:36:14+02:00,Update main.c,21,c984e6da10458e71a0b54e4f8e4c0e972335e1ce,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-11-01T21:37:15+02:00,Update main.c,22,5f12210608261fe7251f51308493c207283dd14c,notVolatileVarIrq,main.c.dump
codes/RaspberryPicoW_with_C,2023-11-07T15:31:52+02:00,Create main.cpp,23,f540fbbdaecc2d76421586161b42f572a852971b,notVolatileVarIrq,main.c.dump
