repo_id,Date,Commit_msg,Commit_counter,Commit_hash,Issue,Description
codes/24b-emb-aps-1-abc,2024-08-24T14:35:46-03:00,"botoes, son, aleatorio",1,eddf579e1331d2717b62dc3944eee1e32bafa688,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-abc,2024-08-24T14:35:46-03:00,"botoes, son, aleatorio",1,eddf579e1331d2717b62dc3944eee1e32bafa688,noIncludeGuard,main.c.dump
codes/24b-emb-aps-1-abc,2024-08-24T14:35:46-03:00,"botoes, son, aleatorio",1,eddf579e1331d2717b62dc3944eee1e32bafa688,cInHeadFile,main.c.dump
codes/24b-emb-aps-1-abc,2024-08-24T14:56:27-03:00,"botoes, son, aleatorio",2,8b2d8f6a86b6c290cb09cd61aabc5ca8da80b83c,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-abc,2024-08-24T14:56:27-03:00,"botoes, son, aleatorio",2,8b2d8f6a86b6c290cb09cd61aabc5ca8da80b83c,noIncludeGuard,main.c.dump
codes/24b-emb-aps-1-abc,2024-08-24T14:56:27-03:00,"botoes, son, aleatorio",2,8b2d8f6a86b6c290cb09cd61aabc5ca8da80b83c,cInHeadFile,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-26T19:46:21+00:00,primeiro,1,e5021dd29bc72266de68cbf70dcb84c1dce55529,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-26T21:30:05+00:00,.,2,f80c79bb4acd44e6e0c28a3613208e7b098d8d25,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-26T22:16:08+00:00,Arrumar delay,3,ebe14baa615c89d50897d4a346004c071cfc289c,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-27T23:50:01+00:00,Funcionando,4,690ce38fab8ec8138e23e2ec2ce05239a667ee0f,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-30T16:34:12+00:00,Maquina estado,12,f427c238ec3a3ace41c4026958b5f71905cd94e5,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-bill_amostradinho_receba,2024-08-30T16:34:12+00:00,Maquina estado,12,f427c238ec3a3ace41c4026958b5f71905cd94e5,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T18:55:14-03:00,LCD,6,062351849c5cea9990b7ab23bff03875a8a7db1a,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T18:55:14-03:00,LCD,6,062351849c5cea9990b7ab23bff03875a8a7db1a,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T18:55:14-03:00,LCD,6,062351849c5cea9990b7ab23bff03875a8a7db1a,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T18:55:14-03:00,LCD,6,062351849c5cea9990b7ab23bff03875a8a7db1a,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T21:38:45-03:00,...,7,c952e80caa9e85b9185442b5d6c63dd3adf8e04b,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T21:38:45-03:00,...,7,c952e80caa9e85b9185442b5d6c63dd3adf8e04b,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T21:38:45-03:00,...,7,c952e80caa9e85b9185442b5d6c63dd3adf8e04b,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-buhrdjan,2024-08-26T21:38:45-03:00,...,7,c952e80caa9e85b9185442b5d6c63dd3adf8e04b,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-22T17:28:42+00:00,Praticamente feito,1,1c33542cde4ad6f30eab394301a69f2b07a1c8c7,notVolatileVarIrq,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-22T17:28:42+00:00,Praticamente feito,1,1c33542cde4ad6f30eab394301a69f2b07a1c8c7,printfInIRQ,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-22T17:30:09+00:00,SET_IRQ,2,c4e3bb626fd8c2275b1589e83e800db1a39f3cb1,notVolatileVarIrq,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-22T17:30:09+00:00,SET_IRQ,2,c4e3bb626fd8c2275b1589e83e800db1a39f3cb1,printfInIRQ,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-29T15:07:30-03:00,projeto pronto,10,a1ecbc8f5b64b585bf094cf9814c856e6dc43e6f,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-29T15:07:30-03:00,projeto pronto,10,a1ecbc8f5b64b585bf094cf9814c856e6dc43e6f,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-29T15:09:48-03:00,correcao,11,7711345a8f2e895dab8e6009d2536a43787b3c41,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-29T15:14:08-03:00,correcao 1.1,12,6e6189e5e5341d026789958f5fc7351098accba3,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-29T15:20:09-03:00,correcao 1.2,13,4d38c8e7d905c28fe6e3b7ecac98b350af96962c,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T00:04:02-03:00,correcao 1.3,14,20b7804debe53e8c5ebd3536ba5fcee24b212d4c,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T00:23:58-03:00,Imagem do protótipo físico,15,c83581b5cdfda2c677bed45c84e0933dd5f458ec,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T00:25:30-03:00,Create README.md,16,ecc0d473ad82e90dc1ef3e902d8652355cceffa7,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T15:11:47-03:00,correcao 1.4,17,5d2b4e1426f39f577bdcd6cf8d9cb6908ff9b748,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T15:17:32-03:00,correcao 1.5.1,18,f6752a38e03192357f1c41f3847f2075ad813901,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T15:18:03-03:00,correcao 1.5.2,19,dc853d07c2194549238ab45d544ba1ed20356028,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-franco_paraiso,2024-08-30T15:18:33-03:00,correcao 1.5.3,20,806e66a8ee892c8636b1053f2410388074b4bf33,badUseGlobalVar,main.c.dump
codes/24b-emb-aps-1-jv_jv,2024-08-28T14:38:24+00:00,tocar musica no começo,12,d5724ebaf32d9ce68fee0c7972edb07936c51fe4,noIncludeGuard,main.c.dump
